DATE,NGDPXDCCAA
1961-01-01,42026
1962-01-01,45739
1963-01-01,49213
1964-01-01,53975
1965-01-01,59551
1966-01-01,66705
1967-01-01,71812
1968-01-01,78474
1969-01-01,86430
1970-01-01,93153
1971-01-01,101665
1972-01-01,113521
1973-01-01,132966
1974-01-01,158176
1975-01-01,177928
1976-01-01,205986
1977-01-01,227601
1978-01-01,252075
1979-01-01,287608
1980-01-01,322782
1981-01-01,368358
1982-01-01,388181
1983-01-01,421316
1984-01-01,461986
1985-01-01,500027
1986-01-01,526630
1987-01-01,574336
1988-01-01,626894
1989-01-01,671579
1990-01-01,695501
1991-01-01,701773
1992-01-01,718436
1993-01-01,747037
1994-01-01,791972
1995-01-01,831621
1996-01-01,859834
1997-01-01,906926
1998-01-01,940548
1999-01-01,1007927
2000-01-01,1106071
2001-01-01,1144543
2002-01-01,1193694
2003-01-01,1254747
2004-01-01,1335731
2005-01-01,1421590
2006-01-01,1496604
2007-01-01,1577661
2008-01-01,1657041
2009-01-01,1571334
2010-01-01,1666048
2011-01-01,1774063
2012-01-01,1827201
2013-01-01,1902247
2014-01-01,1994898
2015-01-01,1990441
2016-01-01,2025535
2017-01-01,2140641
2018-01-01,2235675
2019-01-01,2313563
2020-01-01,2220527
2021-01-01,2517123
2022-01-01,2813289
2023-01-01,2892140
