DATE,VALUE,
Jan-61,4935,
Apr-61,5245,
Jul-61,5505,
Oct-61,5479,21164
Jan-62,5336,
Apr-62,5678,
Jul-62,5899,
Oct-62,5853,22766
Jan-63,5679,
Apr-63,6021,
Jul-63,6273,
Oct-63,6323,24296
Jan-64,6196,
Apr-64,6548,
Jul-64,6875,
Oct-64,6935,26554
Jan-65,6855,
Apr-65,7281,
Jul-65,7649,
Oct-65,7819,29604
Jan-66,7785,
Apr-66,8294,
Jul-66,8612,
Oct-66,8786,33477
Jan-67,8700,
Apr-67,9220,
Jul-67,9537,
Oct-67,9576,37033
Jan-68,9400,
Apr-68,9987,
Jul-68,10299,
Oct-68,10574,40260
Jan-69,10554,
Apr-69,11142,
Jul-69,11543,
Oct-69,11785,45024
Jan-70,11695,
Apr-70,12139,
Jul-70,12385,
Oct-70,12587,48806
Jan-71,12435,
Apr-71,13366,
Jul-71,13721,
Oct-71,13986,53508
Jan-72,13981,
Apr-72,14821,
Jul-72,15304,
Oct-72,15949,60055
Jan-73,16084,
Apr-73,17141,
Jul-73,17567,
Oct-73,18387,69179
Jan-74,18735,
Apr-74,20121,
Jul-74,21414,
Oct-74,22226,82496
Jan-75,22072,
Apr-75,23804,
Jul-75,24951,
Oct-75,25391,96218
Jan-76,25706,
Apr-76,27975,
Jul-76,28202,
Oct-76,29429,111312
Jan-77,28951,
Apr-77,30817,
Jul-77,31621,
Oct-77,31888,123277
Jan-78,31451,
Apr-78,33414,
Jul-78,34311,
Oct-78,34915,134091
Jan-79,34931,
Apr-79,37393,
Jul-79,38928,
Oct-79,39555,150807
Jan-80,39695,
Apr-80,42123,
Jul-80,43777,
Oct-80,44890,170485
Jan-81,45411,
Apr-81,48994,
Jul-81,50812,
Oct-81,51399,196616
Jan-82,50889,
Apr-82,53088,
Jul-82,53107,
Oct-82,52906,209990
Jan-83,51729,
Apr-83,55143,
Jul-83,56679,
Oct-83,56681,220232
Jan-84,55871,
Apr-84,59216,
Jul-84,60937,
Oct-84,61144,237168
Jan-85,60501,
Apr-85,63826,
Jul-85,65675,
Oct-85,65691,255693
Jan-86,64697,
Apr-86,68132,
Jul-86,69822,
Oct-86,69906,272557
Jan-87,69499,
Apr-87,73955,
Jul-87,76130,
Oct-87,76555,296139
Jan-88,76518,
Apr-88,81178,
Jul-88,83576,
Oct-88,83591,324863
Jan-89,82794,
Apr-89,87857,
Jul-89,90039,
Oct-89,89619,350309
Jan-90,88361,
Apr-90,93135,
Jul-90,94541,
Oct-90,93384,369421
Jan-91,91274,
Apr-91,95451,
Jul-91,97341,
Oct-91,96133,380199
Jan-92,93758,
Apr-92,98128,
Jul-92,99439,
Oct-92,98077,389402
Jan-93,95954,
Apr-93,99822,
Jul-93,101148,
Oct-93,99469,396393
Jan-94,97211,
Apr-94,102505,
Jul-94,104373,
Oct-94,103344,407433
Jan-95,101247,
Apr-95,105736,
Jul-95,107728,
Oct-95,106201,420912
Jan-96,103380,
Apr-96,107946,
Jul-96,110071,
Oct-96,110144,431541
Jan-97,108587,
Apr-97,114415,
Jul-97,116803,
Oct-97,116066,455871
Jan-98,115137,
Apr-98,120999,
Jul-98,121999,
Oct-98,122380,480515
Jan-99,120693,
Apr-99,127085,
Jul-99,129000,
Oct-99,130039,506817
Jan-00,130575,
Apr-00,139353,
Jul-00,140865,
Oct-00,140666,551459
01-Jan,139802,
01-Apr,145113,
01-Jul,144981,
01-Oct,144382,574278
02-Jan,143894,
02-Apr,149928,
02-Jul,151021,
02-Oct,151940,596783
03-Jan,150842,
03-Apr,155944,
03-Jul,156440,
03-Oct,157374,620600
04-Jan,157856,
04-Apr,165389,
04-Jul,166446,
04-Oct,166464,656155
05-Jan,166236,
05-Apr,173761,
05-Jul,175530,
05-Oct,177081,692608
06-Jan,177092,
06-Apr,185188,
06-Jul,186645,
06-Oct,188396,737321
07-Jan,189263,
07-Apr,197330,
07-Jul,197096,
07-Oct,198874,782563
08-Jan,199531,
08-Apr,206762,
08-Jul,206024,
08-Oct,205791,818108
09-Jan,200279,
09-Apr,203827,
09-Jul,202210,
09-Oct,204240,810556
10-Jan,202435,
10-Apr,209494,
10-Jul,210129,
10-Oct,213882,835940
11-Jan,214464,
11-Apr,221100,
11-Jul,221204,
11-Oct,224377,881145
12-Jan,223004,
12-Apr,231453,
12-Jul,232271,
12-Oct,234762,921490
13-Jan,233568,
13-Apr,240688,
13-Jul,240643,
13-Oct,244282,959181
14-Jan,241816,
14-Apr,250420,
14-Jul,251061,
14-Oct,252950,996247
15-Jan,251399,
15-Apr,258587,
15-Jul,256266,
15-Oct,258491,1024743
16-Jan,251372,
16-Apr,257208,
16-Jul,255283,
16-Oct,260279,1024142
17-Jan,257532,
17-Apr,265848,
17-Jul,267798,
17-Oct,275345,1066523
18-Jan,273991,
18-Apr,281081,
18-Jul,280188,
18-Oct,287044,1122304
19-Jan,282861,
19-Apr,292201,
19-Jul,292736,
19-Oct,300798,1168596
20-Jan,291457,
20-Apr,270618,
20-Jul,290371,
20-Oct,303397,1155843
21-Jan,302582,
21-Apr,310847,
21-Jul,319594,
21-Oct,330979,1264002
22-Jan,333377,
22-Apr,343990,
22-Jul,347139,
22-Oct,355559,1380065
23-Jan,353552,
23-Apr,367486,
23-Jul,371758,
23-Oct,377950,1470746
24-Jan,375062,
